id;devide_id;phone_number;manufacturer;model;last_ping;longitude;latitude;status;entity_status;creation_date;modified_date
1;carefully;vice zowie;greatly cummerbund queasily;among;2023-10-26T08:05:22;dimly during;selfish doting interloper;OFFLINE;ACTIVE;2023-10-26T01:08:32;2023-10-25T18:51:36
2;mysteriously gladly while;babble;than official;between;2023-10-25T20:46:02;drum of;wearily finally gadzooks;ONLINE;INACTIVE;2023-10-25T16:39:55;2023-10-26T00:14:10
3;so invigorate film;buttery;pish thorny;softly astride off;2023-10-25T20:00:24;yahoo ack;nice uselessly shoreline;ONLINE;INACTIVE;2023-10-25T15:56:22;2023-10-26T11:39:16
4;what ninja purse;married;combine pleasant;shyly shortage;2023-10-25T15:25:43;defiantly;misunderstand behind;ONLINE;INACTIVE;2023-10-26T09:04:01;2023-10-25T21:05:19
5;past;dole wherever zesty;trigger devoted team;continually solidarity;2023-10-26T12:28:23;including successfully anenst;bankrupt;OFFLINE;INACTIVE;2023-10-25T23:25:02;2023-10-26T07:11:29
6;phooey unless unwrap;ingratiate zowie kindly;dampen mid;yet quail boo;2023-10-26T10:54:13;nurture;but outside assassination;OFFLINE;INACTIVE;2023-10-25T18:55:36;2023-10-25T21:12:50
7;pleasant;coolly merit;aboard;accompanist coupon;2023-10-25T19:32:11;briskly;eyelid;OFFLINE;INACTIVE;2023-10-25T20:55:58;2023-10-26T08:34:47
8;ha times;critical;highly phew;organic provided never;2023-10-25T18:06:11;if meh arctic;unlike;OFFLINE;ACTIVE;2023-10-25T18:23:08;2023-10-25T14:56:35
9;fuzzy;hill;temp loudly next;searchingly mechanically;2023-10-25T21:10:55;impractical;pace;OFFLINE;ACTIVE;2023-10-26T08:44:33;2023-10-25T23:16:23
10;sin yippee knottily;huzzah now frolic;endothelium versus especially;millimeter why knowing;2023-10-26T00:53:32;statement;absent mobility;ONLINE;ACTIVE;2023-10-25T17:38:37;2023-10-25T23:05:21
