id;name;location;logo_image_url;email_address;phone_number;entity_status;creation_date;modified_date
1;tweet;bangle midnight;beyond usable strand;down thud;builder incidentally;INACTIVE;2023-10-26T07:17:50;2023-10-25T19:12:15
2;whereas pleasant before;yippee simple;whenever quickly;dishonest ammunition professionalize;knowledgeably delightful openly;INACTIVE;2023-10-26T10:34:08;2023-10-26T11:36:37
3;netsuke;paltry to;mattock;disagree;uh-huh;INACTIVE;2023-10-26T05:55:04;2023-10-25T20:20:50
4;yowza reference;retouching;prompt bag for;unless;peen underneath um;INACTIVE;2023-10-26T06:21:12;2023-10-25T18:02:35
5;next gah;devoted on backpack;blah;happy whoever ugh;furthermore;ACTIVE;2023-10-25T17:54:32;2023-10-26T12:54:08
6;inwardly vengeful;immediately into only;oof;brr lumbering million;greatly loose vainly;ACTIVE;2023-10-25T16:52:35;2023-10-26T02:53:18
7;furiously;consistency gleeful;what rip;trusty noun;wrong pretty;ACTIVE;2023-10-25T23:45:31;2023-10-26T10:04:20
8;organ juicy;fire excepting meander;depict;astride;sorrowful overhang;ACTIVE;2023-10-26T08:34:47;2023-10-26T09:47:46
9;hmph;squiggly but towards;without about;laparoscope nonstop;whoever doodle yippee;ACTIVE;2023-10-26T13:24:12;2023-10-26T14:24:50
10;afore;some;swiftly ignorant muddy;onto;visualise;INACTIVE;2023-10-25T19:11:48;2023-10-26T10:44:24
