id;channel;channel_id;message;error_message;status;creation_date
1;SMS;mid operating phooey;joyously;into preserve;DELIVERED;2023-10-26T04:10:46
2;SMS;rave round;apropos;periodic;PENDING;2023-10-26T05:20:22
3;SMS;naturally international;alight selfish quizzically;sleepily undermine quicker;SENT;2023-10-26T00:55:36
4;SMS;incidentally third;wild loud barring;rapidly for;PENDING;2023-10-26T03:56:31
5;SMS;upright concerning;phew while;suspiciously;DELIVERED;2023-10-26T09:25:05
6;EMAIL;above;until;till;DELIVERED;2023-10-26T02:19:20
7;SMS;deliberately dual park;rank;deform whorl;SENT;2023-10-26T13:57:10
8;EMAIL;afore worriedly pish;detainee even ugh;yowl accompany;SENT;2023-10-26T13:50:07
9;SMS;unwitting;legging yuck unlined;via after;DELIVERED;2023-10-25T15:58:56
10;EMAIL;despoil;supposing;psst;PENDING;2023-10-26T00:52:39
